Designator,Mid X,Mid Y,Rotation,Layer
AUDIO1,125.934534,-122.566467,270.0,top
C1,104.2973,-107.035,90.0,top
C10,118.62,-53.56,0.0,top
C100,84.02,-120.07,270.0,top
C101,111.75,-123.58,270.0,top
C102,61.94,-134.65,90.0,top
C103,110.68,-123.56,270.0,top
C104,63.19,-134.65,90.0,top
C105,44.525,-66.94,90.0,top
C107,41.33,-122.89,270.0,top
C108,42.51,-122.92,270.0,top
C109,68.815,-72.64,0.0,top
C110,68.825,-75.17,0.0,top
C111,68.805,-73.99,0.0,top
C112,71.425,-59.09,0.0,top
C113,75.805,-72.68,0.0,top
C114,75.685,-75.2,0.0,top
C115,75.785,-74.05,0.0,top
C116,54.625,-53.89,270.0,top
C117,120.5373,-104.775,90.0,top
C118,120.5373,-114.435,270.0,top
C12,69.51,-134.99,90.0,top
C13,82.475,-49.89,180.0,top
C14,86.425,-68.74,90.0,top
C15,88.205,-57.2185,0.0,top
C16,88.205,-56.3685,0.0,top
C17,81.975,-68.74,270.0,top
C18,90.285,-57.1385,270.0,top
C19,91.175,-61.44,90.0,top
C2,100.5373,-104.655,90.0,top
C20,91.975,-61.44,90.0,top
C21,79.91,-61.93,180.0,top
C22,89.475,-67.89,270.0,top
C23,81.575,-58.09,135.0,top
C24,81.075,-64.44,270.0,top
C25,90.875,-58.74,0.0,top
C3,108.1973,-104.045,90.0,top
C32,43.475,-63.69,90.0,top
C33,41.225,-63.69,90.0,top
C34,42.275,-63.69,90.0,top
C35,127.65,-113.75,180.0,top
C36,127.65,-114.57,180.0,top
C37,124.05,-113.8,180.0,top
C38,124.05,-114.63,180.0,top
C39,125.85,-114.6,180.0,top
C4,106.9073,-114.995,270.0,top
C40,125.85,-113.79,180.0,top
C41,125.935,-101.595,180.0,top
C42,125.94,-102.41,180.0,top
C43,125.94,-103.22,180.0,top
C44,125.94,-104.04,180.0,top
C45,125.94,-104.84,180.0,top
C46,82.225,-78.29,180.0,top
C47,83.375,-83.79,0.0,top
C48,73.85,-79.65,270.0,top
C49,91.725,-56.49,270.0,top
C5,94.09,-110.16,180.0,top
C50,98.225,-70.14,180.0,top
C51,98.225,-69.34,180.0,top
C52,102.925,-72.74,180.0,top
C53,102.925,-71.89,180.0,top
C54,94.525,-68.09,315.0,top
C55,59.825,-57.24,90.0,top
C56,65.36,-126.85,180.0,top
C57,65.0,-131.84,180.0,top
C58,55.87,-139.99,270.0,top
C59,47.65,-136.95,225.0,top
C6,46.79,-118.6,270.0,top
C60,58.775,-57.09,90.0,top
C61,35.52,-132.43,0.0,top
C62,37.84,-123.3,90.0,top
C63,38.02,-117.44,180.0,top
C64,40.72,-117.4,180.0,top
C65,80.23,-119.03,270.0,top
C66,82.89,-117.65,90.0,top
C67,54.545,-74.13,0.0,top
C68,94.09,-109.12,180.0,top
C69,72.16,-129.39,90.0,top
C7,65.8,-127.85,0.0,top
C70,54.495,-75.3,0.0,top
C71,47.425,-59.84,270.0,top
C72,117.27,-78.61,0.0,top
C73,48.175,-70.74,0.0,top
C74,45.175,-71.74,180.0,top
C75,45.275,-70.74,180.0,top
C76,49.525,-62.09,90.0,top
C77,57.275,-59.09,0.0,top
C78,122.57,-80.51,270.0,top
C79,71.07,-128.88,90.0,top
C8,113.2523,-113.633866,270.0,top
C80,116.7673,-98.185,180.0,top
C81,116.7673,-121.015,180.0,top
C82,109.3073,-116.095,270.0,top
C83,110.2873,-116.095,270.0,top
C84,112.2823,-113.623866,270.0,top
C85,64.305,-59.09,0.0,top
C86,49.6325,-125.83,270.0,top
C87,50.6425,-125.33,270.0,top
C88,69.77,-129.46,90.0,top
C89,41.36,-134.14,270.0,top
C9,80.175,-48.9285,270.0,top
C90,44.675,-62.14,90.0,top
C91,61.735,-72.73,0.0,top
C92,61.775,-75.2,0.0,top
C93,61.715,-74.08,0.0,top
C94,54.565,-72.79,0.0,top
C95,44.525,-68.74,90.0,top
C96,123.22,-83.16,180.0,top
C97,61.99,-123.97,270.0,top
C98,68.47,-128.96,90.0,top
C99,82.89,-119.51,270.0,top
D1,59.045,-43.78,270.0,top
D10,79.42,-133.885,270.0,top
D11,115.92,-126.49,270.0,top
D12,113.51,-126.43,90.0,top
D13,68.375,-44.04,270.0,top
D2,117.22,-61.8,90.0,top
D3,112.85,-57.74,90.0,top
D4,112.835,-65.98,270.0,top
D5,71.875,-43.84,270.0,top
D6,61.875,-43.84,270.0,top
D7,64.9075,-43.84,270.0,top
D9,77.07,-133.815,90.0,top
FB1,93.23,-111.62,0.0,top
FB2,83.275,-85.69,0.0,top
FB4,80.225,-76.39,180.0,top
H1,37.43,-46.87,0.0,top
H2,127.06,-46.8,0.0,top
H3,37.5,-136.5,0.0,top
H4,127.13,-136.43,0.0,top
J2,115.847,-48.86,90.0,top
J3,62.81,-139.32,90.0,top
J4,88.985,-74.19,270.0,top
J5,66.775,-53.04,90.0,top
J6,101.535,-55.32,180.0,top
J8,97.07,-79.265,0.0,top
JP1,107.7,-75.99,180.0,top
JP10,80.075,-54.99,90.0,bottom
JP11,73.85,-121.07,90.0,top
JP12,70.94,-119.42,0.0,top
JP13,73.85,-117.77,90.0,top
JP14,90.97,-122.04,270.0,top
JP15,101.07,-134.85,180.0,top
JP16,108.71,-134.75,180.0,top
JP17,100.29,-139.43,270.0,top
JP18,53.655,-70.29,90.0,top
JP19,114.5473,-102.605,270.0,top
JP2,78.545,-127.68,270.0,top
JP20,87.66,-122.75,0.0,top
JP21,87.66,-118.93,0.0,top
JP22,76.75,-119.42,0.0,top
JP23,114.5473,-98.835,270.0,top
JP24,114.5473,-120.365,90.0,top
JP25,114.5473,-116.625,90.0,top
JP26,60.775,-70.24,90.0,top
JP27,67.875,-70.24,90.0,top
JP28,74.975,-70.24,90.0,top
JP29,46.725,-70.09,90.0,bottom
JP3,120.5373,-104.775,90.0,bottom
JP30,45.825,-64.64,180.0,bottom
JP31,88.475,-84.04,0.0,bottom
JP4,120.5373,-114.435,270.0,bottom
JP5,93.45,-56.12,90.0,bottom
JP6,79.575,-44.0285,270.0,top
JP7,78.825,-48.1785,180.0,bottom
JP8,117.87,-54.21,90.0,bottom
JP9,123.22,-85.01,0.0,top
L1,88.225,-54.9185,0.0,top
L10,47.68,-115.97,180.0,top
L11,81.57,-118.18,90.0,top
L12,124.02,-80.81,270.0,top
L2,65.02,-129.65,0.0,top
L3,53.43,-138.6,90.0,top
L4,48.6,-138.15,225.0,top
L5,43.46,-135.19,90.0,top
L6,37.1,-128.9,315.0,top
L7,35.72,-123.3,90.0,top
L8,38.02,-118.97,180.0,top
L9,43.2,-118.95,225.0,top
R1,87.395,-49.9385,270.0,top
R10,48.97,-65.16,0.0,top
R11,70.575,-44.45,90.0,top
R12,66.875,-44.4,90.0,top
R13,90.285,-55.3385,270.0,top
R14,112.7873,-108.785,0.0,top
R15,112.7873,-110.425,0.0,top
R16,39.875,-60.9,180.0,top
R17,39.875,-56.0,180.0,top
R18,95.89,-65.04,180.0,top
R19,63.575,-44.45,90.0,top
R2,73.375,-52.64,0.0,top
R20,93.225,-66.79,315.0,top
R21,117.5473,-100.715,0.0,top
R22,39.875,-67.725,180.0,top
R23,80.225,-64.44,270.0,top
R24,78.875,-58.54,45.0,top
R25,101.725,-70.54,270.0,top
R26,104.125,-70.49,90.0,top
R27,45.325,-66.94,270.0,top
R28,122.7573,-107.285,180.0,top
R29,117.5473,-103.825,0.0,top
R3,47.11,-65.16,0.0,top
R30,106.57,-64.16,0.0,top
R31,98.22,-64.16,0.0,top
R32,96.42,-64.16,180.0,top
R33,104.77,-64.16,180.0,top
R34,76.68,-82.6,0.0,top
R35,45.325,-68.74,270.0,top
R36,97.69,-65.04,180.0,top
R37,88.375,-79.34,180.0,top
R38,88.375,-81.24,180.0,top
R39,60.625,-44.45,90.0,top
R4,84.285,-49.9485,270.0,top
R40,117.5473,-115.385,0.0,top
R41,117.5473,-118.495,0.0,top
R42,88.375,-83.14,180.0,top
R43,91.01,-119.78,180.0,top
R46,61.96,-131.34,90.0,top
R5,83.575,-70.39,0.0,top
R6,39.85,-73.6,180.0,top
R7,57.825,-44.39,270.0,top
R8,85.255,-52.2385,90.0,top
R9,86.465,-52.2485,90.0,top
RF1,117.932568,-134.468217,270.0,top
RF2,87.491009,-134.457368,270.0,top
S1,35.95,-73.9,0.0,top
S2,35.875,-62.566667,0.0,top
S3,35.975,-56.9,0.0,top
S4,35.8,-68.233333,0.0,top
T1,103.54,-128.01,90.0,top
T2,73.06,-133.56,180.0,top
TP16,127.92,-78.51,270.0,top
TP17,117.22,-63.96,270.0,bottom
TP18,117.22,-59.66,0.0,bottom
TP3,86.475,-79.04,0.0,bottom
TP4,86.475,-81.54,0.0,bottom
TP5,80.575,-68.19,0.0,bottom
TP6,80.575,-65.69,0.0,bottom
TP8,112.85,-57.74,0.0,bottom
TP9,123.25,-104.9,0.0,top
U1,99.02,-109.6125,180.0,top
U10,83.375,-81.04,270.0,top
U12,60.775,-64.15,270.0,top
U13,76.675,-47.5435,0.0,top
U14,117.87,-56.945,180.0,top
U15,121.935,-87.71,90.0,top
U16,69.03,-132.09,270.0,top
U17,57.71,-132.69275,180.0,top
U18,65.11,-119.23275,180.0,top
U19,52.59,-113.63725,0.0,top
U2,108.8498,-109.6125,180.0,top
U20,47.1,-62.7275,0.0,top
U21,47.525,-67.59,180.0,top
U22,67.875,-64.15,270.0,top
U23,74.959976,-64.153403,270.0,top
U3,116.7773,-109.6125,180.0,top
U4,125.6473,-110.5875,90.0,top
U5,56.16,-121.51,180.0,top
U6,86.185,-62.3385,90.0,top
U7,79.425,-53.1785,180.0,top
U8,53.670034,-64.17,270.0,top
U9,101.37,-66.9975,0.0,top
USB1,85.925,-45.69,180.0,top
X1,76.625,-79.55,270.0,top
X2,84.225,-68.54,0.0,top
